         2965999 function calls (2961950 primitive calls) in 8.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:367(extend_all)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      163    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        4    0.000    0.000    0.001    0.000 __init__.py:1656(load)
      101    0.000    0.000    0.001    0.000 __init__.py:1874(has_metadata)
        1    0.000    0.000    0.001    0.001 urlparse.py:29(<module>)
        1    0.000    0.000    0.186    0.186 __init__.py:3138(_initialize_master_working_set)
        5    0.000    0.000    0.000    0.000 ssl.py:115(_import_symbols)
       70    0.000    0.000    0.000    0.000 codecs.py:302(__init__)
       52    0.000    0.000    0.000    0.000 linecache.py:47(checkcache)
       70    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:803(_RealGetContents)
        1    0.000    0.000    0.015    0.015 specifiers.py:4(<module>)
      365    0.000    0.000    0.000    0.000 pkgutil.py:234(__init__)
      500    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
      121    0.000    0.000    0.001    0.000 pyparsing.py:2327(__init__)
       91    0.000    0.000    0.001    0.000 genericpath.py:34(isfile)
       70    0.000    0.000    0.001    0.000 codecs.py:311(decode)
       99    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.026    0.026 type_check.py:3(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3499(__init__)
       99    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      101    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
      268    0.000    0.000    0.000    0.000 pyparsing.py:3229(<genexpr>)
        1    0.000    0.000    0.013    0.013 parser.py:5(<module>)
        3    0.000    0.000    0.000    0.000 {zip}
       85    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 surfarray.py:61(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        3    0.000    0.000    0.000    0.000 ufunclike.py:14(_deprecate_out_named_y)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
     20/4    0.000    0.000    0.000    0.000 pyparsing.py:3278(streamline)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1907(__or__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
      181    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.010    0.010 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
      227    0.000    0.000    0.000    0.000 {setattr}
      181    0.000    0.000    0.000    0.000 sre_parse.py:86(closegroup)
      200    0.000    0.000    0.000    0.000 __init__.py:1002(_added_new)
      117    0.000    0.000    0.001    0.000 re.py:138(match)
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
       70    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4834(_makeTags)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1227(setParseAction)
       50    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2020(setWhitespaceChars)
      272    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
    36/11    0.000    0.000    0.008    0.001 pyparsing.py:3702(leaveWhitespace)
        2    0.000    0.000    0.000    0.000 {method 'normal' of 'mtrand.RandomState' objects}
        2    0.000    0.000    0.000    0.000 {imp.load_module}
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
        1    0.000    0.000    0.000    0.000 settings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:429(LibraryLoader)
       48    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      301    0.000    0.000    0.000    0.000 sre_parse.py:222(isident)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3506(parseImpl)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2615(<genexpr>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6498(getdoc)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      289    0.000    0.000    0.000    0.000 {max}
       19    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      142    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       74    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
       52    0.000    0.000    0.001    0.000 linecache.py:13(getline)
        5    0.000    0.000    0.004    0.001 __init__.py:2230(declare_namespace)
       27    0.000    0.000    0.000    0.000 core.py:940(__init__)
       68    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
      105    0.000    0.000    0.000    0.000 pyparsing.py:2112(__str__)
      214    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
      304    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
       17    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
   106/76    0.000    0.000    0.000    0.000 {issubclass}
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       43    0.000    0.000    0.001    0.000 core.py:143(get_object_signature)
      178    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 locals.py:24(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      195    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.000    0.000 py31compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2731(MaskedArray)
       70    0.000    0.000    0.000    0.000 {method 'partition' of 'unicode' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
      471    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
        1    0.000    0.000    0.000    0.000 SmokeSimulation.py:9(__init__)
     10/2    0.000    0.000    0.001    0.000 pyparsing.py:3356(parseImpl)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2772(parseImpl)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
       12    0.000    0.000    0.008    0.001 pyparsing.py:4210(__init__)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        1    0.000    0.000    0.000    0.000 pkgutil.py:480(extend_path)
